atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4208757CW,39,1,38,37,120,1,120,119
4208758CE,53,9,44,35,82,65,73,8
4208758CW,55,1,54,53,62,11,62,51
4208758NW,58,3,55,52,83,47,81,34
4208758SE,19,5,14,9,27,7,22,15
4208758SW,48,2,46,44,62,9,61,52
4208767CW,17,2,15,13,44,2,44,42
4208767NE,148,5,143,138,144,7,144,137
4208767NW,44,5,39,34,119,34,118,84
4208767SW,12,4,8,4,45,5,44,39
4208768CE,83,10,73,63,82,37,77,40
4208768CW,41,1,40,39,54,28,53,25
4208768NW,55,3,52,49,54,27,49,22
4208768SW,51,4,47,43,68,56,56,0
4208777NW,116,15,101,86,140,16,139,123
4208777SW,120,12,108,96,116,34,116,82
4208778CE,154,6,148,142,136,37,132,95
4208778CW,17,2,15,13,45,11,44,33
4208778NE,63,1,62,61,132,6,132,126
4208778NW,38,2,36,34,102,2,102,100
4208778SE,8,1,7,6,13,1,12,11
4208778SW,74,4,70,66,78,53,69,16
4208787CW,191,9,182,173,159,14,159,145
4208787NW,169,12,157,145,152,61,150,89
4208787SW,117,2,115,113,121,2,121,119
4208788CE,101,28,73,45,100,49,98,49
4208788CW,142,41,101,60,137,62,132,70
4208788NE,157,12,145,133,124,11,121,110
4208788NW,68,1,67,66,97,1,96,95
4208788SE,121,5,116,111,130,5,130,125
4208788SW,167,2,165,163,121,2,121,119
4208851CE,112,9,103,94,88,73,81,8
4208851NE,16,1,15,14,61,15,58,43
4208851NW,46,2,44,42,62,25,62,37
4208851SE,18,1,17,16,52,24,49,25
4208852CE,51,24,27,3,104,85,87,2
4208852NE,46,8,38,30,71,65,57,-8
4208852NW,36,1,35,34,60,35,54,19
4208853CE,42,10,32,22,84,70,74,4
4208853CW,4,1,3,2,15,2,14,12
4208853NE,47,3,44,41,83,69,62,-7
4208853NW,30,10,20,10,69,7,68,61
4208853SW,9,1,8,7,50,24,39,15
4208854CE,68,28,40,12,90,71,83,12
4208854CW,23,12,11,-1,79,46,63,17
4208854NE,74,63,11,-52,75,68,35,-33
4208854NW,38,15,23,8,62,52,55,3
4208854SE,6,4,2,-2,44,31,30,-1
4208854SW,17,9,8,-1,57,23,54,31
4208855CE,128,69,59,-10,115,99,95,-4
4208855CW,3,2,1,-1,52,50,5,-45
4208855NE,30,9,21,12,61,34,58,24
4208855SE,98,92,6,-86,98,90,50,-40
4208856CE,32,4,28,24,66,41,65,24
4208856NW,8,1,7,6,48,1,47,46
4208857CE,37,10,27,17,77,52,73,21
4208857NE,7,5,2,-3,47,41,15,-26
4208857NW,18,1,17,16,89,1,88,87
4208858CE,33,4,29,25,77,50,75,25
4208858CW,5,1,4,3,46,4,44,40
4208858SE,13,1,12,11,35,1,34,33
4208858SW,22,5,17,12,56,5,55,50
