"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4208758CE",82,65,73,8,-0.748528949534427
"4208851CE",88,73,81,8,-0.748528949534427
"4208852CE",104,85,87,2,-0.925938942761816
"4208853CE",84,70,74,4,-0.866802278352687
"4208854CE",90,71,83,12,-0.630255620716167
"4208855CE",115,99,95,-4,-1.10334893598921
"4208857CE",77,52,73,21,-0.364140630875083
"4208862SE",150,97,144,47,0.404636006443604
"4208863CE",125,76,116,40,0.19765768101165
"4208867CE",54,37,46,9,-0.718960617329862
"4208872CE",90,60,80,20,-0.393708963079648
"4208873CE",92,46,85,39,0.168089348807085
"4208874NW",126,92,120,28,-0.157162305443129
"4208882CE",85,66,76,10,-0.689392285125297
"4208884CE",107,73,99,26,-0.216298969852259
"4208885CE",108,79,92,13,-0.600687288511602
"4208887CE",105,82,91,9,-0.718960617329862
"4208888CE",107,72,97,25,-0.245867302056824
"4208888SE",120,81,114,33,-0.0093206444203047
"4208958CE",85,62,79,17,-0.482413959693343
"4208961CE",113,63,106,43,0.286362677625344
"4208964CE",100,83,94,11,-0.659823952920732
"4208965CE",97,75,81,6,-0.807665613943557
"4208966CE",83,60,72,12,-0.630255620716167
"4208967CE",91,84,79,-5,-1.13291726819377
"4208971CE",106,62,92,30,-0.0980256410339994
"4208972CE",101,63,94,31,-0.0684573088294345
"4208974NW",121,105,111,6,-0.807665613943557
"4208975CE",94,74,84,10,-0.689392285125297
"4208976CE",96,81,88,7,-0.778097281738992
"4208977CE",96,84,88,4,-0.866802278352687
"4208978CE",93,80,85,5,-0.837233946148122
"4208981CE",117,74,110,36,0.07938435219339
"4208983CE",110,83,95,12,-0.630255620716167
"4208985CE",107,75,99,24,-0.275435634261389
"4208986CE",99,69,91,22,-0.334572298670519
"4208987CE",84,70,75,5,-0.837233946148122
"4208988CE",101,76,97,21,-0.364140630875083
"4208988NE",82,65,77,12,-0.630255620716167
"4209051CE",83,73,72,-1,-1.01464393937551
"4209053CE",76,59,68,9,-0.718960617329862
"4209054CE",68,58,65,7,-0.778097281738992
"4209055CE",64,54,56,2,-0.925938942761816
"4209062CE",81,57,74,17,-0.482413959693343
"4209064CE",65,55,56,1,-0.955507274966381
"4209066CE",82,62,77,15,-0.541550624102473
"4209067CE",98,75,88,13,-0.600687288511602
"4209068CE",101,83,92,9,-0.718960617329862
"4209072CE",87,71,79,8,-0.748528949534427
"4209073CE",83,61,75,14,-0.571118956307038
"4209074CE",74,56,66,10,-0.689392285125297
"4209075CE",76,56,70,14,-0.571118956307038
"4209077CE",76,66,69,3,-0.896370610557251
"4209078CE",80,62,73,11,-0.659823952920732
"4209082CE",81,61,75,14,-0.571118956307038
"4209085CE",82,63,75,12,-0.630255620716167
"4209086CE",75,55,63,8,-0.748528949534427
"4209087CE",83,64,71,7,-0.778097281738992
"4209088CE",68,55,61,6,-0.807665613943557
"4209181CE",81,67,73,6,-0.807665613943557
"4209181NW",153,92,147,55,0.641182664080123
"4209182CE",94,78,84,6,-0.807665613943557
"4308718CE",172,65,171,106,2.14916760651293
"4308728CE",161,82,157,75,1.23254930817142
"4308738CE",113,76,105,29,-0.127593973238564
"4308748CE",141,87,125,38,0.13852101660252
"4308758CE",101,65,93,28,-0.157162305443129
"4308767CE",82,61,73,12,-0.630255620716167
"4308768CE",77,57,68,11,-0.659823952920732
"4308777CE",92,62,83,21,-0.364140630875083
"4308787CE",107,67,102,35,0.0498160199888251
"4308788CE",135,97,117,20,-0.393708963079648
"4308811CE",121,57,114,57,0.700319328489253
"4308812CE",75,58,65,7,-0.778097281738992
"4308813CE",86,69,70,1,-0.955507274966381
"4308815CE",104,74,95,21,-0.364140630875083
"4308816CE",86,70,76,6,-0.807665613943557
"4308817CE",116,70,112,42,0.256794345420779
"4308818CE",160,89,157,68,1.02557098273947
"4308822CE",90,72,77,5,-0.837233946148122
"4308823CE",80,68,69,1,-0.955507274966381
"4308824CE",95,78,74,-4,-1.10334893598921
"4308825CE",109,71,103,32,-0.0388889766248696
"4308828CE",101,69,93,24,-0.275435634261389
"4308828CW",92,71,81,10,-0.689392285125297
"4308832CE",77,59,70,11,-0.659823952920732
"4308832NE",104,79,90,11,-0.659823952920732
"4308833CE",113,100,93,-7,-1.1920539326029
"4308834CE",87,73,74,1,-0.955507274966381
"4308837CE",92,68,83,15,-0.541550624102473
"4308841CE",150,90,144,54,0.611614331875558
"4308841SE",173,108,167,59,0.759455992898383
"4308842CE",112,86,100,14,-0.571118956307038
"4308843CE",107,81,93,12,-0.630255620716167
"4308844CE",95,67,88,21,-0.364140630875083
"4308846CE",113,75,109,34,0.0202476877842602
"4308847CE",126,71,121,50,0.493341003057298
"4308852CE",131,114,110,-4,-1.10334893598921
"4308852NE",157,110,149,39,0.168089348807085
"4308853CE",88,64,77,13,-0.600687288511602
"4308854CE",98,85,84,-1,-1.01464393937551
"4308861CE",112,84,107,23,-0.305003966465954
"4308862CE",140,108,127,19,-0.423277295284213
"4308863CE",86,64,76,12,-0.630255620716167
"4308868CE",80,59,73,14,-0.571118956307038
"4308871CE",118,99,87,-12,-1.33989559362572
"4308872CE",108,81,98,17,-0.482413959693343
"4308875CE",100,67,92,25,-0.245867302056824
"4308878CE",111,74,101,27,-0.186730637647694
"4308881CE",116,80,100,20,-0.393708963079648
"4308882CE",113,64,104,40,0.19765768101165
"4308883CE",96,71,85,14,-0.571118956307038
"4308885CE",84,62,73,11,-0.659823952920732
"4308887CE",119,105,95,-10,-1.2807589292166
"4308887SE",104,68,98,30,-0.0980256410339994
"4308888CE",106,70,95,25,-0.245867302056824
"4308913CE",110,73,102,29,-0.127593973238564
"4308914CE",158,77,152,75,1.23254930817142
"4308915CE",86,60,76,16,-0.511982291897908
"4308916CE",104,76,102,26,-0.216298969852259
"4308917CE",94,68,84,16,-0.511982291897908
"4308918CE",124,81,119,38,0.13852101660252
"4308923CE",124,69,119,50,0.493341003057298
"4308925CE",106,60,94,34,0.0202476877842602
"4308926CE",111,87,92,5,-0.837233946148122
"4308927CE",108,74,103,29,-0.127593973238564
"4308928CE",156,94,150,56,0.670750996284688
