"atlas_block","sr_total","sr_Atlas1","sr_Atlas2","sr_diff","sr_diff_z"
"4208757CW",120,1,120,119,2.53355592517228
"4208758CE",82,65,73,8,-0.748528949534427
"4208758CW",62,11,62,51,0.522909335261863
"4208758NW",83,47,81,34,0.0202476877842602
"4208758SE",27,7,22,15,-0.541550624102473
"4208758SW",62,9,61,52,0.552477667466428
"4208767CW",44,2,44,42,0.256794345420779
"4208767NE",144,7,144,137,3.06578590485444
"4208767NW",119,34,118,84,1.4986642980125
"4208767SW",45,5,44,39,0.168089348807085
"4208768CE",82,37,77,40,0.19765768101165
"4208768CW",54,28,53,25,-0.245867302056824
"4208768NW",54,27,49,22,-0.334572298670519
"4208768SW",68,56,56,0,-0.985075607170946
"4208777NW",140,16,139,123,2.65182925399054
"4208777SW",116,34,116,82,1.43952763360337
"4208778CE",136,37,132,95,1.82391595226272
"4208778CW",45,11,44,33,-0.0093206444203047
"4208778NE",132,6,132,126,2.74053425060423
"4208778NW",102,2,102,100,1.97175761328554
"4208778SE",13,1,12,11,-0.659823952920732
"4208778SW",78,53,69,16,-0.511982291897908
"4208787CW",159,14,159,145,3.30233256249096
"4208787NW",152,61,150,89,1.64650595903533
"4208787SW",121,2,121,119,2.53355592517228
"4208788CE",100,49,98,49,0.463772670852734
"4208788CW",137,62,132,70,1.0847076471486
"4208788NE",124,11,121,110,2.26744093533119
"4208788NW",97,1,96,95,1.82391595226272
"4208788SE",130,5,130,125,2.71096591839967
"4208788SW",121,2,121,119,2.53355592517228
"4208851CE",88,73,81,8,-0.748528949534427
"4208851NE",61,15,58,43,0.286362677625344
"4208851NW",62,25,62,37,0.108952684397955
"4208851SE",52,24,49,25,-0.245867302056824
"4208852CE",104,85,87,2,-0.925938942761816
"4208852NE",71,65,57,-8,-1.22162226480747
"4208852NW",60,35,54,19,-0.423277295284213
"4208853CE",84,70,74,4,-0.866802278352687
"4208853CW",15,2,14,12,-0.630255620716167
"4208853NE",83,69,62,-7,-1.1920539326029
"4208853NW",69,7,68,61,0.818592657307512
"4208853SW",50,24,39,15,-0.541550624102473
"4208854CE",90,71,83,12,-0.630255620716167
"4208854CW",79,46,63,17,-0.482413959693343
"4208854NE",75,68,35,-33,-1.96083056992159
"4208854NW",62,52,55,3,-0.896370610557251
"4208854SE",44,31,30,-1,-1.01464393937551
"4208854SW",57,23,54,31,-0.0684573088294345
"4208855CE",115,99,95,-4,-1.10334893598921
"4208855CW",52,50,5,-45,-2.31565055637637
"4208855NE",61,34,58,24,-0.275435634261389
"4208855SE",98,90,50,-40,-2.16780889535354
"4208856CE",66,41,65,24,-0.275435634261389
"4208856NW",48,1,47,46,0.375067674239039
"4208857CE",77,52,73,21,-0.364140630875083
"4208857NE",47,41,15,-26,-1.75385224448963
"4208857NW",89,1,88,87,1.5873692946262
"4208858CE",77,50,75,25,-0.245867302056824
"4208858CW",46,4,44,40,0.19765768101165
"4208858SE",35,1,34,33,-0.0093206444203047
"4208858SW",56,5,55,50,0.493341003057298
"4208861CE",109,54,103,49,0.463772670852734
"4208861NW",7,1,6,5,-0.837233946148122
"4208861SE",34,1,33,32,-0.0388889766248696
"4208861SW",50,4,47,43,0.286362677625344
"4208862CE",108,64,102,38,0.13852101660252
"4208862NW",122,20,118,98,1.91262094887641
"4208862SE",150,97,144,47,0.404636006443604
"4208862SW",3,1,2,1,-0.955507274966381
"4208863CE",125,76,116,40,0.19765768101165
"4208863NE",113,2,112,110,2.26744093533119
"4208863SW",71,54,67,13,-0.600687288511602
"4208864CE",77,47,72,25,-0.245867302056824
"4208864SE",76,60,65,5,-0.837233946148122
"4208865CE",70,31,67,36,0.07938435219339
"4208866CE",93,47,93,46,0.375067674239039
"4208866NE",54,1,53,52,0.552477667466428
"4208866NW",78,4,75,71,1.11427597935316
"4208866SE",63,1,63,62,0.848160989512077
"4208867CE",54,37,46,9,-0.718960617329862
"4208868CE",79,45,77,32,-0.0388889766248696
"4208871CE",78,37,73,36,0.07938435219339
"4208871NW",49,6,45,39,0.168089348807085
"4208871SW",36,1,35,34,0.0202476877842602
"4208872CE",90,60,80,20,-0.393708963079648
"4208872CW",80,4,80,76,1.26211764037599
"4208872NE",54,6,51,45,0.345499342034474
"4208872NW",56,2,54,52,0.552477667466428
"4208872SW",50,2,48,46,0.375067674239039
"4208873CE",92,46,85,39,0.168089348807085
"4208873NW",55,6,51,45,0.345499342034474
"4208874CE",95,69,90,21,-0.364140630875083
"4208874CW",117,78,103,25,-0.245867302056824
"4208874NE",113,2,113,111,2.29700926753576
"4208874NW",126,92,120,28,-0.157162305443129
"4208874SE",21,1,21,20,-0.393708963079648
"4208875CE",129,44,127,83,1.46909596580794
"4208875CW",51,9,49,40,0.19765768101165
"4208875NE",114,11,113,102,2.03089427769467
"4208875NW",125,30,122,92,1.73521095564902
"4208876CE",113,76,109,33,-0.0093206444203047
"4208876CW",70,1,70,69,1.05513931494403
"4208876NW",62,1,62,61,0.818592657307512
"4208876SE",70,4,68,64,0.907297653921207
"4208877CE",102,56,98,42,0.256794345420779
"4208878CE",114,59,111,52,0.552477667466428
"4208878CW",60,3,58,55,0.641182664080123
"4208878NE",76,2,76,74,1.20298097596686
"4208878NW",123,6,123,117,2.47441926076315
"4208878SE",106,3,106,103,2.06046260989924
"4208881CE",157,50,156,106,2.14916760651293
"4208881CW",36,3,36,33,-0.0093206444203047
"4208881NE",88,7,88,81,1.40995930139881
"4208881NW",59,15,55,40,0.19765768101165
"4208881SE",76,50,56,6,-0.807665613943557
"4208881SW",81,11,79,68,1.02557098273947
"4208882CE",85,66,76,10,-0.689392285125297
"4208882CW",49,9,45,36,0.07938435219339
"4208882NE",73,39,68,29,-0.127593973238564
"4208882SE",111,18,110,92,1.73521095564902
"4208882SW",80,6,79,73,1.17341264376229
"4208883CE",142,76,139,63,0.877729321716642
"4208883CW",61,9,60,51,0.522909335261863
"4208883NE",73,14,72,58,0.729887660693818
"4208883NW",38,14,31,17,-0.482413959693343
"4208883SE",134,5,132,127,2.7701025828088
"4208883SW",102,81,78,-3,-1.07378060378464
"4208884CE",107,73,99,26,-0.216298969852259
"4208884CW",148,81,144,63,0.877729321716642
"4208884NE",88,78,60,-18,-1.51730558685311
"4208884NW",107,74,95,21,-0.364140630875083
"4208884SW",117,6,117,111,2.29700926753576
"4208885CE",108,79,92,13,-0.600687288511602
"4208885CW",47,1,46,45,0.345499342034474
"4208885NE",78,3,78,75,1.23254930817142
"4208885NW",94,91,50,-41,-2.19737722755811
"4208885SE",131,84,129,45,0.345499342034474
"4208885SW",66,58,33,-25,-1.72428391228507
"4208886CE",114,70,109,39,0.168089348807085
"4208886CW",50,1,50,49,0.463772670852734
"4208886SE",76,51,59,8,-0.748528949534427
"4208886SW",123,46,123,77,1.29168597258055
"4208887CE",105,82,91,9,-0.718960617329862
"4208887CW",126,34,120,86,1.55780096242163
"4208887NE",59,1,59,58,0.729887660693818
"4208887NW",98,19,96,77,1.29168597258055
"4208887SE",121,49,120,71,1.11427597935316
"4208887SW",53,9,48,39,0.168089348807085
"4208888CE",107,72,97,25,-0.245867302056824
"4208888CW",84,76,51,-25,-1.72428391228507
"4208888NE",138,12,138,126,2.74053425060423
"4208888NW",122,81,105,24,-0.275435634261389
"4208888SE",120,81,114,33,-0.0093206444203047
"4208888SW",80,73,30,-43,-2.25651389196724
"4208951CE",136,59,135,76,1.26211764037599
"4208951NE",103,7,103,96,1.85348428446728
"4208951NW",60,3,59,56,0.670750996284688
"4208951SE",89,1,89,88,1.61693762683076
"4208952CE",85,48,80,32,-0.0388889766248696
"4208952SE",79,70,51,-19,-1.54687391905768
"4208953CE",107,65,104,39,0.168089348807085
"4208953CW",101,2,101,99,1.94218928108098
