atlas_block,checklists_Atlas2,checklists_Atlas1,checklists_total,mins_Atlas2,mins_Atlas1,mins_total,mins_diff,mins_diff_z,sr_total,sr_Atlas1,sr_Atlas2,sr_diff,sr_diff_z
4208757CW,38,1,39,2243,0,2243,2243,0.6721083374804236,120,1,120,119,2.533555925172276
4208758CE,44,9,53,1464,1679.3999999999999,3143.3999999999996,-215.39999999999986,-0.24976881906645862,82,65,73,8,-0.748528949534427
4208758CW,54,1,55,851,15,866,836,0.1444964113246055,62,11,62,51,0.5229093352618633
4208758NW,55,3,58,334,150,484,184,-0.09999753029131025,83,47,81,34,0.020247687784260192
4208758SE,14,5,19,34,90,124,-56,-0.18999530021127925,27,7,22,15,-0.5415506241024727
4208758SW,46,2,48,370,15,385,355,-0.03587411922333235,62,9,61,52,0.5524776674664282
4208767CW,15,2,17,177,0,177,177,-0.10262246524730935,44,2,44,42,0.25679434542077934
4208767NE,143,5,148,5836,0,5836,5836,2.0194499513239594,144,7,144,137,3.065785904854444
4208767NW,39,5,44,3495,180,3675,3315,1.0740983764562853,119,34,118,84,1.4986642980125047
4208767SW,8,4,12,264,0,264,264,-0.0699982736513206,45,5,44,39,0.16808934880708465
4208768CE,73,10,83,2106,1920,4026,186,-0.09924754887531051,82,37,77,40,0.19765768101164954
4208768CW,40,1,41,152,15,167,137,-0.11762209356730419,54,28,53,25,-0.24586730205682383
4208768NW,52,3,55,184,120,304,64,-0.14499641525129475,54,27,49,22,-0.3345722986705185
4208768SW,47,4,51,139,210,349,-71,-0.19562016083127734,68,56,56,0,-0.9850756071709461
4208777NW,101,15,116,9655,0,9655,9655,3.451539465175466,140,16,139,123,2.6518292539905355
4208777SW,108,12,120,6744,0,6744,6744,2.359941514187842,116,34,116,82,1.4395276336033749
4208778CE,148,6,154,4507,1515,6022,2992,0.952976377772327,136,37,132,95,1.8239159522627186
4208778CW,15,2,17,59,15,74,44,-0.15249622941129218,45,11,44,33,-0.009320644420304698
4208778NE,62,1,63,5079,0,5079,5079,1.7355819853680572,132,6,132,126,2.74053425060423
4208778NW,36,2,38,3169,0,3169,3169,1.0193497330883041,102,2,102,100,1.971757613285543
4208778SE,7,1,8,28,0,28,28,-0.1584960807392901,13,1,12,11,-0.6598239529207323
4208778SW,70,4,74,513,150,663,363,-0.03287419355933338,78,53,69,16,-0.5119822918979079
4208787CW,182,9,191,11670,2250,13920,9420,3.3634166487954964,159,14,159,145,3.302332562490963
4208787NW,157,12,169,7084,1800,8884,5284,1.8124550805080306,152,61,150,89,1.6465059590353293
4208787SW,115,2,117,4494,420,4914,4074,1.3587163238281872,121,2,121,119,2.533555925172276
4208788CE,73,28,101,4716,4380,9096,336,-0.042998942675329895,100,49,98,49,0.46377267085273355
4208788CW,101,41,142,6506,4200,10706,2306,0.6957327520844155,137,62,132,70,1.0847076471485964
4208788NE,145,12,157,13449,0,13449,13449,4.874254211326976,124,11,121,110,2.2674409353311917
4208788NW,67,1,68,3777,0,3777,3777,1.2473440835522256,97,1,96,95,1.8239159522627186
4208788SE,116,5,121,8485,0,8485,8485,3.012800336815617,130,5,130,125,2.710965918399665
4208788SW,165,2,167,15888,0,15888,15888,5.788856548138661,121,2,121,119,2.533555925172276
4208851CE,103,9,112,2931,1924.8,4855.8,1006.2,0.20831982982618352,88,73,81,8,-0.748528949534427
4208851NE,15,1,16,273,15,288,258,-0.07224821789931982,61,15,58,43,0.28636267762534423
4208851NW,44,2,46,169,30,199,139,-0.11687211215130444,62,25,62,37,0.10895268439795486
4208851SE,17,1,18,49,15,64,34,-0.15624613649129088,52,24,49,25,-0.24586730205682383
4208852CE,27,24,51,2769,3710.4,6479.4,-941.4000000000001,-0.5220120730743649,104,85,87,2,-0.9259389427618163
4208852NE,38,8,46,113,210,323,-97,-0.20536991923927397,71,65,57,-8,-1.2216222648074653
4208852NW,35,1,36,140,30,170,110,-0.1277468426833007,60,35,54,19,-0.42327729528421315
4208853CE,32,10,42,1613,1756.99998,3369.99998,-143.99998000000005,-0.22299447501545375,84,70,74,4,-0.8668022783526865
4208853CW,3,1,4,30,0,30,30,-0.15774609932329037,15,2,14,12,-0.6302556207161674
4208853NE,44,3,47,255,150,405,105,-0.12962179622330006,83,69,62,-7,-1.1920539326029003
4208853NW,20,10,30,178,0,178,178,-0.10224747453930948,69,7,68,61,0.8185926573075123
4208853SW,8,1,9,122,15,137,107,-0.1288718148073003,50,24,39,15,-0.5415506241024727
4208854CE,40,28,68,2956,840,3796,2116,0.6244845175644401,90,71,83,12,-0.6302556207161674
4208854CW,11,12,23,1090,1440,2530,-350,-0.30024256836324126,79,46,63,17,-0.48241395969334294
4208854NE,11,63,74,17,840,857,-823,-0.47761317324718017,75,68,35,-33,-1.9608305699215876
4208854NW,23,15,38,207,525,732,-318,-0.28824286570724544,62,52,55,3,-0.8963706105572514
4208854SE,2,4,6,86,180,266,-94,-0.20424494711527436,44,31,30,-1,-1.014643939375511
4208854SW,8,9,17,183,60,243,123,-0.12287196347930238,57,23,54,31,-0.06845730882943447
4208855CE,59,69,128,3412,5730,9142,-2318,-1.0382242817069869,115,99,95,-4,-1.1033489359892057
4208855CW,1,2,3,120,330,450,-210,-0.24774386924325936,52,50,5,-45,-2.315650556376366
4208855NE,21,9,30,483,0,483,483,0.012124691400651113,61,34,58,24,-0.27543563426138873
4208855SE,6,92,98,584,0,584,584,0.04999875290863806,98,90,50,-40,-2.167808895353542
4208856CE,28,4,32,1439,300,1739,1139,0.25811859584856633,66,41,65,24,-0.27543563426138873
4208856NW,7,1,8,110,0,110,110,-0.1277468426833007,48,1,47,46,0.37506767423903886
4208857CE,27,10,37,1269,4785,6054,-3516,-1.4874631498908322,77,52,73,21,-0.36414063087508336
4208857NE,2,5,7,54,570,624,-516,-0.36249102589121984,47,41,15,-26,-1.7538522444896332
4208857NW,17,1,18,762,0,762,762,0.11674709893261506,89,1,88,87,1.5873692946261995
4208858CE,29,4,33,1195,1452,2647,-257,-0.2653684325192533,77,50,75,25,-0.24586730205682383
